horizon,split,corridor,baseline,experiment,signal_count,signals_per_week,delta_lift,delta_lift_ci_low,delta_lift_ci_high,delta_bps,delta_bps_ci_low,delta_bps_ci_high,decision
1,oot,RUB->TJS,cbr_full_logreg,cbr_context_logreg,10,0.19230769230769232,0.241511111111111,-0.08305659562211982,0.4212252394070575,2.4785763159935286,-17.1219734435291,15.925250594075122,insufficient_frequency
1,oot,RUB->UZS,cbr_full_logreg,cbr_context_logreg,9,0.17307692307692307,-0.28251633986928093,-0.6862262304250559,0.19194575059049918,-28.962807554187606,-89.14234975665876,16.64032590321387,insufficient_frequency
1,y2022,RUB->AMD,cbr_full_logreg,cbr_full_catboost,3,0.059322033898305086,0.995967741935484,0.3210536276647286,1.7374754901960774,-128.9166146958935,-380.56691135191113,28.87634536403991,insufficient_frequency
1,y2022,RUB->KGS,cbr_full_logreg,cbr_full_catboost,7,0.1384180790960452,-0.19125048393341082,-0.8237892211148025,0.674429629629628,-38.99337892390293,-147.23144339886827,35.95619963787782,insufficient_frequency
1,y2022,RUB->KZT,cbr_full_logreg,cbr_full_catboost,3,0.059322033898305086,1.4195402298850575,0.0,2.494949494949495,140.00493004066612,1.6538290920867098,230.0932945758336,insufficient_frequency
1,y2022,RUB->TJS,cbr_full_logreg,cbr_full_catboost,6,0.11864406779661017,-0.9427480916030534,-1.8870454545454545,0.0,10.855064389101017,-117.74819578482004,232.47785298447428,insufficient_frequency
1,y2022,RUB->UZS,cbr_full_logreg,cbr_full_catboost,6,0.11864406779661017,1.0378151260504203,0.0,2.062225140056022,14.816103557205608,-134.41667738106582,124.3465936355773,insufficient_frequency
1,wf_oos,RUB->AMD,cbr_full_logreg,cbr_full_catboost,20,0.14537902388369678,0.24390934844192635,-0.12905849310648074,0.6526759573127585,10.004581889511101,-23.635786426817695,43.047407529569114,insufficient_frequency
1,wf_oos,RUB->KGS,cbr_full_logreg,cbr_full_catboost,27,0.19626168224299065,0.17454235845040444,-0.12176157148411774,0.5291714871215233,10.109551793810835,-19.26360173766284,40.73122698478748,insufficient_frequency
1,wf_oos,RUB->KZT,cbr_full_logreg,cbr_full_catboost,24,0.17445482866043613,-0.07113780447113793,-0.34422176462176457,0.15338759917104505,-5.566445796846072,-37.17614640009145,26.92311669643341,insufficient_frequency
1,wf_oos,RUB->TJS,cbr_full_logreg,cbr_full_catboost,18,0.1308411214953271,0.4209597147453207,0.05654694178446459,0.9284504303999892,14.063643296611666,-15.134904830991461,43.78914332642143,insufficient_frequency
1,wf_oos,RUB->UZS,cbr_full_logreg,cbr_full_catboost,17,0.12357217030114226,-0.2975630941466003,-0.8065345649896212,0.10063322884012528,-21.793139640482277,-67.06795640352435,2.8197420054555162,insufficient_frequency
1,oot,RUB->AMD,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
1,oot,RUB->KGS,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
1,oot,RUB->KZT,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
1,oot,RUB->TJS,cbr_full_logreg,cbr_full_catboost,1,0.019230769230769232,0.439111111111111,0.0,0.879856872711264,37.7017209138851,-5.866882888488805,81.61864765183812,insufficient_frequency
1,oot,RUB->UZS,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
1,y2022,RUB->AMD,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
1,y2022,RUB->KGS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
1,y2022,RUB->KZT,cbr_full_logreg,cbr_context_catboost,1,0.01977401129943503,2.1293103448275863,1.8854961832061068,2.5623067010309275,319.40737714311,319.40737714311,319.40737714311,insufficient_frequency
1,y2022,RUB->TJS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
1,y2022,RUB->UZS,cbr_full_logreg,cbr_context_catboost,3,0.059322033898305086,2.0756302521008405,1.819203431372549,2.5146799628942484,128.05330452714236,82.70576546441008,154.13397506424403,insufficient_frequency
1,wf_oos,RUB->AMD,cbr_full_logreg,cbr_context_catboost,23,0.16718587746625127,0.42166522970809206,0.018248886147685203,0.8000703838386032,54.80611706289022,16.91718665970005,97.8552761847014,insufficient_frequency
1,wf_oos,RUB->KGS,cbr_full_logreg,cbr_context_catboost,33,0.23987538940809966,0.25705329153605017,-0.07645164355565873,0.5684660474480977,24.291461566273398,-5.384961872397548,59.44863820760032,insufficient_frequency
1,wf_oos,RUB->KZT,cbr_full_logreg,cbr_context_catboost,27,0.19626168224299065,0.029184740295851386,-0.3322389372858494,0.5265783133389957,-6.090683216901713,-40.047628647807485,32.63468044627162,insufficient_frequency
1,wf_oos,RUB->TJS,cbr_full_logreg,cbr_context_catboost,29,0.2107995846313603,0.5497632723386386,0.18915732568452132,0.9668527189386001,41.00010068797935,-1.6181192466158876,79.01124140425982,insufficient_frequency
1,wf_oos,RUB->UZS,cbr_full_logreg,cbr_context_catboost,31,0.22533748701973,0.07406740938721135,-0.29745127962917206,0.425171857956786,14.951965363086599,-15.198518351403628,45.55509181953858,insufficient_frequency
