horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,experiment,feature_groups
1,RUB->AMD,logreg,oot,247,12,132,0.6666666666666666,0.5344129554655871,0.535,1.2474747474747474,1.2461059190031152,8.903267618296962,0.23076923076923078,0.0,0.24310913987590635,incumbent_ab,"A,B"
1,RUB->KGS,logreg,oot,247,7,117,0.5714285714285714,0.47368421052631576,0.4828571428571429,1.2063492063492063,1.1834319526627217,35.41067653082841,0.1346153846153846,0.14285714285714285,0.24827853658534033,incumbent_ab,"A,B"
1,RUB->KZT,logreg,oot,247,5,142,0.4,0.5748987854251012,0.564,0.695774647887324,0.7092198581560285,30.667542578218253,0.09615384615384616,0.0,0.2564624045151819,incumbent_ab,"A,B"
1,RUB->TJS,logreg,oot,247,11,125,0.7272727272727273,0.5060728744939271,0.5309090909090909,1.4370909090909092,1.3698630136986303,25.537124935303144,0.21153846153846154,0.09090909090909091,0.23972489084887577,incumbent_ab,"A,B"
1,RUB->UZS,logreg,oot,247,8,136,0.625,0.5506072874493927,0.525,1.1351102941176472,1.1904761904761905,35.78163924599369,0.15384615384615385,0.0,0.250323280999172,incumbent_ab,"A,B"
1,RUB->AMD,logreg,y2022,247,6,124,0.5,0.5020242914979757,0.5433333333333333,0.995967741935484,0.9202453987730062,146.48279721716028,0.11864406779661017,0.0,0.32259039261302613,cbr_full_logreg,"A,B,C,E"
1,RUB->KGS,logreg,y2022,247,3,123,0.6666666666666666,0.4979757085020243,0.5066666666666666,1.3387533875338753,1.3157894736842106,66.46386666150009,0.059322033898305086,0.0,0.28836876683651547,cbr_full_logreg,"A,B,C,E"
1,RUB->KZT,logreg,y2022,247,1,116,0.0,0.46963562753036436,0.54,0.0,0.0,-152.65799013785764,0.01977401129943503,0.0,0.32174185394476823,cbr_full_logreg,"A,B,C,E"
1,RUB->TJS,logreg,y2022,247,1,131,1.0,0.5303643724696356,0.48,1.8854961832061068,2.0833333333333335,33.47057196471473,0.01977401129943503,0.0,0.3326976291625215,cbr_full_logreg,"A,B,C,E"
1,RUB->UZS,logreg,y2022,247,1,119,0.0,0.4817813765182186,0.48,0.0,0.0,-60.423705063333124,0.01977401129943503,0.0,0.30051132467141883,cbr_full_logreg,"A,B,C,E"
