experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,method,feature_groups,corridor
catboost_ab,AMD,wf_2025,5.0,1,,0.453416149068323,161,73,2.1470588235294117,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,catboost,"A,B",RUB->AMD
catboost_ab,KGS,oot,5.0,1,0.5384615384615384,0.4736842105263157,247,117,2.207547169811321,13,13,0,13,0,0.8679245283018868,0.0377358490566037,53,2025-09-02,2026-09-02,True,86.97259729687134,0.6615384615384616,47.940509582108014,226.72029107294316,35.57079190776481,catboost,"A,B",RUB->KGS
catboost_ab,KGS,wf_2022,5.0,1,0.4848484848484848,0.4979757085020243,247,123,2.411764705882353,33,33,0,33,0,0.6862745098039216,0.0784313725490196,51,2022-01-11,2022-12-31,True,388.6892636578674,0.5328787878787878,-21.801029883820902,492.05042647123935,-13.109028605193505,catboost,"A,B",RUB->KGS
catboost_ab,KGS,wf_2023,5.0,1,0.5,0.5668016194331984,247,140,2.7450980392156863,102,102,0,102,0,0.392156862745098,0.4313725490196078,51,2023-01-10,2023-12-30,False,,0.4961764705882354,-1.7136750490565973,202.08074309681356,4.709964515331923,catboost,"A,B",RUB->KGS
catboost_ab,KGS,wf_2024,5.0,1,0.4545454545454545,0.5645161290322581,248,140,2.7450980392156863,55,55,0,55,0,0.6078431372549019,0.1764705882352941,51,2024-01-10,2024-12-29,True,187.51387498519412,0.4638181818181817,-11.560365595308973,214.13528257470244,-16.078501426112986,catboost,"A,B",RUB->KGS
catboost_ab,KGS,wf_2025,5.0,1,,0.422360248447205,161,68,2.0,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,catboost,"A,B",RUB->KGS
catboost_ab,KZT,oot,5.0,1,0.5,0.5748987854251012,247,142,2.679245283018868,30,30,0,30,0,0.7358490566037735,0.0754716981132075,53,2025-09-02,2026-09-02,True,138.07174080430596,0.5603333333333333,20.108439752558553,197.58749079267884,17.91317837812386,catboost,"A,B",RUB->KZT
catboost_ab,KZT,wf_2022,5.0,1,0.4210526315789473,0.4696356275303643,247,116,2.2745098039215685,38,38,0,38,0,0.6470588235294118,0.0980392156862745,51,2022-01-11,2022-12-31,True,301.60322437913493,0.3988157894736841,-28.346134676395497,499.6545528285913,12.294859912693129,catboost,"A,B",RUB->KZT
catboost_ab,KZT,wf_2023,5.0,1,0.5294117647058824,0.5587044534412956,247,138,2.7058823529411766,102,102,0,102,0,0.3725490196078431,0.4117647058823529,51,2023-01-10,2023-12-30,False,,0.4889705882352941,-1.3246349890308755,253.17743062670215,8.201781420403693,catboost,"A,B",RUB->KZT
catboost_ab,KZT,wf_2024,5.0,1,0.3846153846153846,0.5040322580645161,248,125,2.450980392156863,39,39,0,39,0,0.7254901960784313,0.1176470588235294,51,2024-01-10,2024-12-29,True,116.60180458005476,0.4152564102564103,-8.023334524979148,250.76948692970677,-6.751098116179535,catboost,"A,B",RUB->KZT
catboost_ab,KZT,wf_2025,5.0,1,,0.4347826086956521,161,70,2.0588235294117645,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,catboost,"A,B",RUB->KZT
catboost_ab,TJS,oot,5.0,1,0.7692307692307693,0.5060728744939271,247,125,2.358490566037736,27,26,1,26,1,0.7358490566037735,0.0754716981132075,53,2025-09-02,2026-09-02,True,109.47823306868364,0.7584615384615385,56.052409057100064,106.40655501223328,38.27478933051935,catboost,"A,B",RUB->TJS
catboost_ab,TJS,wf_2022,5.0,1,0.5641025641025641,0.5303643724696356,247,131,2.5686274509803924,39,39,0,39,0,0.6470588235294118,0.1176470588235294,51,2022-01-11,2022-12-31,True,611.4550762738858,0.4865384615384616,-34.632454435409336,1037.75210314709,-20.399631909776897,catboost,"A,B",RUB->TJS
