horizon,corridor,method,split,feature_groups,metric,old,reconstructed,match
5,RUB->AMD,logreg,wf_oos,"A,B,C",target_positives,215.0,215.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",signal_hit_rate,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",random_hit_rate,0.3277439024390244,0.3277439024390244,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",freq_matched_hit_rate,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",lift,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",lift_freq_matched,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",bps_forward,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",signals_per_week,0.0,0.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",cluster_share,,,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",eligible_days,656.0,656.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",signal_count,179.0,179.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",target_positives,215.0,215.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",signal_hit_rate,0.2849162011173184,0.2849162011173184,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",random_hit_rate,0.3277439024390244,0.3277439024390244,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",freq_matched_hit_rate,0.3341899441340782,0.3341899441340782,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",lift,0.869325711316097,0.869325711316097,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",lift_freq_matched,0.8525576730190572,0.8525576730190572,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",bps_forward,16.6001467695,16.6001467695,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",signals_per_week,1.301142263759086,1.301142263759086,True
5,RUB->AMD,logreg,wf_oos,"A,B,C,D",cluster_share,0.8044692737430168,0.8044692737430168,True
5,RUB->AMD,logreg,y2022,A,eligible_days,247.0,247.0,True
5,RUB->AMD,logreg,y2022,A,signal_count,2.0,2.0,True
5,RUB->AMD,logreg,y2022,A,target_positives,72.0,72.0,True
5,RUB->AMD,logreg,y2022,A,signal_hit_rate,0.5,0.5,True
5,RUB->AMD,logreg,y2022,A,random_hit_rate,0.291497975708502,0.291497975708502,True
5,RUB->AMD,logreg,y2022,A,freq_matched_hit_rate,0.31,0.31,True
5,RUB->AMD,logreg,y2022,A,lift,1.715277777777778,1.715277777777778,True
5,RUB->AMD,logreg,y2022,A,lift_freq_matched,1.6129032258064515,1.6129032258064515,True
5,RUB->AMD,logreg,y2022,A,bps_forward,643.8217775621491,643.8217775621491,True
5,RUB->AMD,logreg,y2022,A,signals_per_week,0.03954802259887,0.03954802259887,True
5,RUB->AMD,logreg,y2022,A,cluster_share,0.0,0.0,True
5,RUB->AMD,logreg,y2022,"A,B",eligible_days,247.0,247.0,True
5,RUB->AMD,logreg,y2022,"A,B",signal_count,6.0,6.0,True
5,RUB->AMD,logreg,y2022,"A,B",target_positives,72.0,72.0,True
5,RUB->AMD,logreg,y2022,"A,B",signal_hit_rate,0.3333333333333333,0.3333333333333333,True
5,RUB->AMD,logreg,y2022,"A,B",random_hit_rate,0.291497975708502,0.291497975708502,True
5,RUB->AMD,logreg,y2022,"A,B",freq_matched_hit_rate,0.2833333333333333,0.2833333333333333,True
5,RUB->AMD,logreg,y2022,"A,B",lift,1.1435185185185186,1.1435185185185186,True
5,RUB->AMD,logreg,y2022,"A,B",lift_freq_matched,1.1764705882352942,1.1764705882352942,True
5,RUB->AMD,logreg,y2022,"A,B",bps_forward,-35.813940160908935,-35.813940160908935,True
5,RUB->AMD,logreg,y2022,"A,B",signals_per_week,0.1186440677966101,0.1186440677966101,True
5,RUB->AMD,logreg,y2022,"A,B",cluster_share,0.0,0.0,True
5,RUB->AMD,logreg,y2022,"A,B,C",eligible_days,247.0,247.0,True
5,RUB->AMD,logreg,y2022,"A,B,C",signal_count,4.0,4.0,True
5,RUB->AMD,logreg,y2022,"A,B,C",target_positives,72.0,72.0,True
5,RUB->AMD,logreg,y2022,"A,B,C",signal_hit_rate,0.25,0.25,True
5,RUB->AMD,logreg,y2022,"A,B,C",random_hit_rate,0.291497975708502,0.291497975708502,True
5,RUB->AMD,logreg,y2022,"A,B,C",freq_matched_hit_rate,0.295,0.295,True
5,RUB->AMD,logreg,y2022,"A,B,C",lift,0.857638888888889,0.857638888888889,True
5,RUB->AMD,logreg,y2022,"A,B,C",lift_freq_matched,0.8474576271186441,0.8474576271186441,True
5,RUB->AMD,logreg,y2022,"A,B,C",bps_forward,-84.7695032399207,-84.7695032399207,True
5,RUB->AMD,logreg,y2022,"A,B,C",signals_per_week,0.0790960451977401,0.0790960451977401,True
5,RUB->AMD,logreg,y2022,"A,B,C",cluster_share,0.5,0.5,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",eligible_days,247.0,247.0,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",signal_count,27.0,27.0,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",target_positives,72.0,72.0,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",signal_hit_rate,0.1851851851851851,0.1851851851851851,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",random_hit_rate,0.291497975708502,0.291497975708502,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",freq_matched_hit_rate,0.3177777777777777,0.3177777777777777,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",lift,0.6352880658436214,0.6352880658436214,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",lift_freq_matched,0.5827505827505828,0.5827505827505828,True
5,RUB->AMD,logreg,y2022,"A,B,C,D",bps_forward,-6.592739738137694,-6.592739738137694,True
