experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,lift_ci_low,lift_ci_high,lift_bootstrap_valid,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high,moment_advantage_bps_bootstrap_valid,customer_regret_cvar_95_bps_ci_low,customer_regret_cvar_95_bps_ci_high,customer_regret_cvar_95_bps_bootstrap_valid,lift_at_risk_ci_low,lift_at_risk_ci_high,lift_at_risk_bootstrap_valid
catboost_abcd,UZS,wf_2022,5.0,1,,0.4817813765182186,247,119,2.3333333333333335,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,,,,0,,,0,,,0,,,0
catboost_abcd,UZS,wf_2023,5.0,1,0.4705882352941176,0.562753036437247,247,139,2.7254901960784315,51,51,0,51,0,0.7058823529411765,0.196078431372549,51,2023-01-10,2023-12-30,True,162.35106858320947,0.4463725490196079,-1.992825293773139,174.4951654862587,-2.1721760632112006,0.6369737165315648,1.14588420749135,1000,-0.7218313334556213,7.878085524691071,1000,77.51888552561911,220.54069194042737,1000,0.7376943539203712,1.1751547804938616,1000
catboost_abcd,UZS,wf_2024,5.0,1,0.6,0.5403225806451613,248,134,2.627450980392157,5,5,0,5,0,0.9019607843137256,0.0,51,2024-01-10,2024-12-29,True,11.05008071093838,0.638,9.300228097208546,70.5485823539812,14.897647380690104,0.0,1.77716341212744,983,-31.89973317130224,-16.439966910479775,983,0.0,47.758898755576595,983,0.0,1.804758669281379,972
catboost_abcd,UZS,wf_2025,5.0,1,0.4210526315789473,0.4472049689440994,161,72,2.1176470588235294,19,19,0,19,0,0.6764705882352942,0.0588235294117647,34,2025-01-10,2025-08-30,True,59.90538628174669,0.4447368421052631,-8.847559854835351,154.92502315792908,-7.296284272014378,0.5833201357466063,1.61,1000,-30.06778744586918,2.642065286263076,1000,46.13463320324085,69.3530036963308,1000,0.7300027874654121,2.1395855785338944,1000
level,AMD,oot,,1,0.4761904761904761,0.5344129554655871,247,132,2.490566037735849,42,42,0,42,0,0.7169811320754716,0.1320754716981132,53,2025-09-02,2026-09-02,True,124.6360457588098,0.414047619047619,-5.8432287126994344,143.55571418531954,8.790869108146987,0.7085714285714285,1.2285312474336865,1000,5.579595776574527,24.21910425748347,1000,42.60067662290387,152.98085415171636,1000,1.0883063524105645,1.9654182332629428,1000
level,AMD,wf_2022,,1,0.4375,0.5020242914979757,247,124,2.4313725490196076,32,32,0,32,0,0.8235294117647058,0.1372549019607843,51,2022-01-11,2022-12-31,True,377.66287505869786,0.38125,-33.16573220188105,562.7331652309983,5.298263367895977,0.4702020202020202,1.197651209677419,983,6.642505276606981,42.84284149691201,983,191.0040822441017,587.538387192319,983,0.73553883569459,3.2154029048909036,979
level,AMD,wf_2023,,1,0.36,0.5708502024291497,247,141,2.764705882352941,25,25,0,25,0,0.8823529411764706,0.0980392156862745,51,2023-01-10,2023-12-30,True,120.69038066334905,0.3311999999999999,-15.38359107941718,172.85141293372445,-13.470226723855433,0.4833659491193737,1.2485342465753415,945,-0.1567341576588558,21.956610985798264,945,37.86415269298571,194.3960256011823,945,0.8184102263133262,2.0463773234407587,943
level,AMD,wf_2024,,1,0.4642857142857143,0.5604838709677419,248,139,2.7254901960784315,28,28,0,28,0,0.8431372549019608,0.1372549019607843,51,2024-01-10,2024-12-29,True,183.61313078003593,0.39,-9.023679205588172,331.548915583433,9.592431491063802,0.5847401192022108,1.565223240884891,986,1.92774014084176,63.42979310835329,986,63.462822667921245,529.34288307523,986,0.5472025468401943,3.253900373738389,984
level,AMD,wf_2025,,1,0.4772727272727273,0.453416149068323,161,73,2.1470588235294117,88,88,0,88,0,0.2941176470588235,0.5294117647058824,34,2025-01-10,2025-08-30,True,247.3399926228188,0.4414204545454545,-18.667933484468698,247.33999262281884,-12.9245404441265,0.9470134336984252,1.1506678412424605,1000,2.1708106146384334,8.486206574210712,1000,132.20938987606303,324.24930201626444,1000,1.0149512331940154,1.188688669667128,1000
level,KGS,oot,,1,0.3934426229508196,0.4736842105263157,247,117,2.207547169811321,61,61,0,61,0,0.6226415094339622,0.2075471698113207,53,2025-09-02,2026-09-02,True,138.87053485662858,0.3525409836065574,-10.278620728927756,148.54852326061194,-2.1384808832282447,0.6922727272727273,1.0716256256256256,1000,5.00580896289163,16.515972087997177,1000,115.06574524803526,194.34045807672052,1000,1.0260128110265605,1.382955250239848,1000
level,KGS,wf_2022,,1,0.4285714285714285,0.4979757085020243,247,123,2.411764705882353,42,42,0,42,0,0.7647058823529411,0.1764705882352941,51,2022-01-11,2022-12-31,True,452.6813774541755,0.3740476190476191,-58.18754040164748,656.3692631546937,-3.022692835939771,0.6341760037348272,1.419642355081452,999,11.515744096287351,163.63590885917156,999,347.000020030569,578.6547562049104,999,1.104433477717684,13.369465720319257,999
level,KGS,wf_2023,,1,0.5,0.5668016194331984,247,140,2.7450980392156863,14,14,0,14,0,0.9215686274509804,0.0588235294117647,51,2023-01-10,2023-12-30,True,86.15908839848885,0.4846428571428571,-8.246123340329248,181.5695126736904,-9.44009112116269,0.6495691320006264,1.703448275862069,894,2.1293804733208956,17.407306986068814,894,0.0,200.06988469025933,894,0.7576333651082244,2.2407641324025787,881
level,KGS,wf_2024,,1,0.5909090909090909,0.5645161290322581,248,140,2.7450980392156863,22,22,0,22,0,0.8627450980392157,0.0784313725490196,51,2024-01-10,2024-12-29,True,178.60994554350108,0.5534090909090909,7.537899888557906,362.541766285729,21.65250247253851,0.8040764790764791,1.8931297709923665,993,3.495295896591225,62.37234913766501,993,0.0,497.1124770995017,993,0.6689164375640712,5.74752956604225,987
level,KGS,wf_2025,,1,0.4242424242424242,0.422360248447205,161,68,2.0,99,99,0,99,0,0.2647058823529412,0.6176470588235294,34,2025-01-10,2025-08-30,True,248.7383457503136,0.3994444444444444,-18.926704667527492,248.73834575031364,-15.017023432277876,0.9030320411392404,1.1083541997880233,1000,0.8023602106065314,7.915061771552015,1000,136.2848087756916,301.96001444472785,1000,1.023883480453485,1.142172592644086,1000
level,KZT,oot,,1,0.6842105263157895,0.5748987854251012,247,142,2.679245283018868,19,19,0,19,0,0.8679245283018868,0.0754716981132075,53,2025-09-02,2026-09-02,True,156.21711620374825,0.5305263157894737,-6.433627964549319,218.15654251982764,24.02173989297318,0.946734978018285,1.873137388926863,977,11.7900413034416,88.10402966242386,977,0.0,218.9756070881632,977,1.0223084915601706,4.039878420070341,972
