horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,experiment,feature_groups
3,RUB->KGS,logreg,y2022,247,1,84,1.0,0.340080971659919,0.3,2.9404761904761907,3.3333333333333335,125.35907106458578,1,51.39821569571046,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.6256194891620246,cbr_full_logreg,"A,B,C,E"
3,RUB->KZT,logreg,y2022,247,0,75,,0.30364372469635625,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->TJS,logreg,y2022,247,1,87,1.0,0.3522267206477733,0.34,2.839080459770115,2.941176470588235,133.264446730621,1,54.63014586472692,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.973452950023221,cbr_full_logreg,"A,B,C,E"
3,RUB->UZS,logreg,y2022,247,0,79,,0.31983805668016196,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->AMD,logreg,wf_oos,656,93,255,0.3870967741935484,0.38871951219512196,0.37612903225806454,0.9958254269449714,1.0291595197255574,17.80232123835413,92,25.60064734439335,93,74.09302012825064,395.2986617178889,352.7316655462274,352.7316655462274,0.2608695652173913,26.08695652173913,138,0.6739130434782609,0.0,3.299999999999997,0.7971014492753623,0.14492753623188406,0.8064516129032258,0.6739130434782609,0.8279569892473119,1.552539596676726,cbr_full_logreg,"A,B,C,E"
3,RUB->KGS,logreg,wf_oos,656,95,252,0.42105263157894735,0.38414634146341464,0.38042105263157894,1.0960735171261486,1.1068068622025455,21.09642633403716,94,22.09157855703177,95,64.49210150481018,383.31541467117927,326.14820738646654,326.1482073864666,0.2898550724637681,28.985507246376812,138,0.6884057971014492,0.0,3.0,0.782608695652174,0.15217391304347827,0.7789473684210526,0.6884057971014492,0.8,1.4620919105153474,cbr_full_logreg,"A,B,C,E"
3,RUB->KZT,logreg,wf_oos,656,91,222,0.3516483516483517,0.3384146341463415,0.3408791208791208,1.0391050391050392,1.0315925209542234,11.074320012323577,90,12.429644040961152,91,83.16355928314889,455.24663241385264,380.3077958962398,380.3077958962398,0.2318840579710145,23.18840579710145,138,0.6594202898550725,0.0,3.299999999999997,0.7971014492753623,0.13043478260869565,0.8021978021978022,0.6594202898550725,0.7912087912087912,1.2585866803234067,cbr_full_logreg,"A,B,C,E"
3,RUB->TJS,logreg,wf_oos,656,79,266,0.379746835443038,0.4054878048780488,0.4040506329113924,0.9365185114685448,0.9398496240601504,8.765970781564503,78,21.314182757535157,79,72.27129771228256,408.38999497077697,369.00084357321674,363.02706171410114,0.21739130434782608,21.73913043478261,138,0.572463768115942,0.0,3.0,0.8043478260869565,0.10869565217391304,0.759493670886076,0.572463768115942,0.7721518987341772,1.4124356379202716,cbr_full_logreg,"A,B,C,E"
3,RUB->UZS,logreg,wf_oos,656,94,247,0.40425531914893614,0.37652439024390244,0.3755319148936169,1.0736497545008183,1.076487252124646,19.877519581844517,93,20.220561860582507,94,66.61732291820671,431.576218612848,356.0794008885222,356.0794008885222,0.2753623188405797,27.536231884057973,138,0.6811594202898551,0.0,4.0,0.8115942028985508,0.14492753623188406,0.8297872340425532,0.6811594202898551,0.8297872340425532,1.171201039135392,cbr_full_logreg,"A,B,C,E"
3,RUB->AMD,logreg,oot,245,0,92,,0.37551020408163266,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->KGS,logreg,oot,245,0,87,,0.3551020408163265,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->KZT,logreg,oot,245,0,94,,0.3836734693877551,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->TJS,logreg,oot,245,0,91,,0.37142857142857144,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->UZS,logreg,oot,245,0,96,,0.39183673469387753,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
3,RUB->AMD,logreg,y2022,247,14,85,0.21428571428571427,0.3441295546558704,0.3471428571428571,0.6226890756302521,0.617283950617284,-74.27524044879121,14,108.55160451959429,14,235.23484680192337,1099.1172937305228,1099.1172937305228,579.8537965840453,0.05882352941176471,5.882352941176471,51,0.27450980392156865,0.0,1.0,0.8627450980392157,0.0392156862745098,0.5,0.27450980392156865,0.5,2.1269862340518513,all_external_logreg,"A,B,C,D,E,F"
3,RUB->KGS,logreg,y2022,247,20,84,0.3,0.340080971659919,0.3550000000000001,0.8821428571428571,0.845070422535211,77.66657467182854,20,218.4901365666151,20,325.7538670026703,878.7567305226895,878.7567305226895,713.1912596795203,0.11764705882352942,11.764705882352942,51,0.39215686274509803,0.0,2.0,0.8235294117647058,0.058823529411764705,0.55,0.39215686274509803,0.55,127.89593845065524,all_external_logreg,"A,B,C,D,E,F"
