horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,feature_groups,training_horizon,evaluation_horizon,threshold_metric
10,RUB->UZS,logreg,y2022,247,97,51,0.2268041237113402,0.20647773279352227,0.20123711340206182,1.0984435011117848,1.127049180327869,20.003633210948948,93,195.51967918886265,95,543.8037519126974,2642.338625206073,2187.2503590292454,2187.250359029245,0.43137254901960786,43.13725490196079,51,1.9019607843137254,2.0,4.0,0.23529411764705882,0.3333333333333333,0.711340206185567,1.9019607843137254,0.6494845360824743,1.2991611657451008,"A,B",5,10,lar
1,RUB->AMD,logreg,wf_oos,656,49,353,0.5714285714285714,0.538109756097561,0.5485714285714286,1.0619182517199515,1.0416666666666665,18.348190970483827,49,-5.352616240154403,49,14.836915096394373,121.50407784661698,98.30199823025983,83.56793917993866,0.2028985507246377,20.28985507246377,138,0.35507246376811596,0.0,1.0,0.8043478260869565,0.043478260869565216,0.5306122448979592,0.35507246376811596,0.4897959183673469,1.3795130334964865,"A,B",5,1,lar
1,RUB->KGS,logreg,wf_oos,656,34,348,0.5,0.5304878048780488,0.5423529411764706,0.9425287356321839,0.9219088937093275,5.842712577973904,33,-5.5884275045958045,33,14.578558507166818,85.09984343933796,82.55926696819404,60.329802576490444,0.12318840579710144,12.318840579710145,138,0.2463768115942029,0.0,1.0,0.8768115942028986,0.043478260869565216,0.5882352941176471,0.2463768115942029,0.5294117647058824,1.0281864011637059,"A,B",5,1,lar
1,RUB->KZT,logreg,wf_oos,656,30,333,0.5,0.5076219512195121,0.5046666666666667,0.9849849849849851,0.9907529722589167,18.4252760427609,30,-6.135582307424799,30,18.946570029105676,84.31570784950715,81.68180553726256,72.03340422948256,0.10869565217391304,10.869565217391305,138,0.21739130434782608,0.0,1.0,0.8695652173913043,0.028985507246376812,0.4666666666666667,0.21739130434782608,0.4,2.0188841362045724,"A,B",5,1,lar
1,RUB->TJS,logreg,wf_oos,656,63,361,0.6349206349206349,0.5503048780487805,0.5342857142857141,1.1537615969748933,1.1883541295306004,22.727908699902116,62,-4.743290169302915,62,13.042508813920772,164.6205059762429,106.67288666343644,99.4178109311803,0.2898550724637681,28.985507246376812,138,0.45652173913043476,0.0,2.0,0.7681159420289855,0.057971014492753624,0.5396825396825397,0.45652173913043476,0.5238095238095238,1.328691469102638,"A,B",5,1,lar
1,RUB->UZS,logreg,wf_oos,656,29,345,0.5862068965517241,0.5259146341463414,0.5317241379310345,1.1146426786606696,1.1024643320363163,26.385668713585993,29,-6.981952767925861,29,13.090259538340522,80.0709312872283,73.04996543258667,52.48897968207622,0.12318840579710144,12.318840579710145,138,0.21014492753623187,0.0,1.0,0.8695652173913043,0.021739130434782608,0.4482758620689655,0.21014492753623187,0.3793103448275862,1.8625253028273394,"A,B",5,1,lar
10,RUB->AMD,logreg,wf_oos,656,49,174,0.22448979591836735,0.2652439024390244,0.26857142857142857,0.846352334037063,0.8358662613981763,45.76083427328659,48,33.40285513951824,48,113.54878820017923,781.5990331121459,596.9536338551337,468.55592154880776,0.07971014492753623,7.971014492753623,138,0.35507246376811596,0.0,1.0,0.8043478260869565,0.043478260869565216,0.5306122448979592,0.35507246376811596,0.4897959183673469,1.1997269327352433,"A,B",5,10,lar
10,RUB->KGS,logreg,wf_oos,656,34,167,0.20588235294117646,0.2545731707317073,0.2688235294117647,0.8087354702359986,0.7658643326039387,38.94468989491797,33,17.8432565004409,33,67.42654256268406,266.8804878290243,249.5075183876305,216.90031336400438,0.050724637681159424,5.072463768115942,138,0.2463768115942029,0.0,1.0,0.8768115942028986,0.043478260869565216,0.5882352941176471,0.2463768115942029,0.5294117647058824,0.7934184395927903,"A,B",5,10,lar
10,RUB->KZT,logreg,wf_oos,656,30,137,0.06666666666666667,0.20884146341463414,0.18666666666666665,0.31922141119221414,0.35714285714285715,-12.141190310236857,30,28.726963969876206,30,170.3321570973477,1008.7075086326824,972.7079742155753,587.1680655763951,0.014492753623188406,1.4492753623188406,138,0.21739130434782608,0.0,1.0,0.8695652173913043,0.028985507246376812,0.4666666666666667,0.21739130434782608,0.4,0.5504687527999795,"A,B",5,10,lar
10,RUB->TJS,logreg,wf_oos,656,63,180,0.3333333333333333,0.27439024390243905,0.2752380952380952,1.2148148148148146,1.2110726643598615,64.91361246146727,59,33.37431574260247,59,95.93225770854608,764.3914649765837,754.9487658958952,658.4686336984344,0.15217391304347827,15.217391304347826,138,0.45652173913043476,0.0,2.0,0.7681159420289855,0.057971014492753624,0.5396825396825397,0.45652173913043476,0.5238095238095238,0.9771588575587611,"A,B",5,10,lar
