horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,indicator,label,evaluation_horizon
5,RUB->KGS,signal_seasonality,oot,243,36,70,0.3055555555555556,0.2880658436213992,0.31166666666666665,1.0607142857142857,0.9803921568627453,29.201992510418442,34,-2.275970345012393,34,103.07707890033285,510.4106968162836,458.39242243843944,356.0166272210239,0.21153846153846154,21.153846153846153,52,0.6923076923076923,0.0,2.8999999999999986,0.7884615384615384,0.11538461538461539,0.8055555555555556,0.6923076923076923,0.8333333333333334,0.9671571633455386,signal_seasonality,Правило: seasonality,5
5,RUB->KZT,signal_seasonality,oot,243,52,80,0.25,0.3292181069958848,0.33692307692307694,0.759375,0.7420091324200913,8.181871721932767,52,-27.345768700281027,52,147.66089386137165,506.7133544065605,454.62856039252046,431.9350154093553,0.25,25.0,52,1.0,0.0,4.899999999999999,0.6923076923076923,0.17307692307692307,0.8269230769230769,1.0,0.8461538461538461,0.9699929498623109,signal_seasonality,Правило: seasonality,5
5,RUB->TJS,signal_seasonality,oot,243,46,73,0.5434782608695652,0.3004115226337449,0.29739130434782607,1.809112567004169,1.827485380116959,80.18965896030704,41,-1.602350839597488,46,71.95539467353285,434.4332326119771,415.62035808274146,350.3115435339122,0.4807692307692308,48.07692307692308,52,0.8846153846153846,0.0,4.0,0.7115384615384616,0.15384615384615385,0.8043478260869565,0.8846153846153846,0.8260869565217391,0.9088588216441355,signal_seasonality,Правило: seasonality,5
5,RUB->UZS,signal_seasonality,oot,243,44,83,0.3181818181818182,0.34156378600823045,0.3190909090909091,0.9315443592552026,0.9971509971509971,21.348423308399894,42,5.175632873479906,42,123.91587590881875,492.61432862483633,411.5991533389463,370.8850289464167,0.2692307692307692,26.923076923076923,52,0.8461538461538461,0.0,4.0,0.7692307692307693,0.15384615384615385,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.9679116952681524,signal_seasonality,Правило: seasonality,5
10,RUB->AMD,signal_seasonality,oot,238,50,56,0.14,0.23529411764705882,0.2352,0.5950000000000001,0.5952380952380953,12.097586317595901,50,17.132597696629468,50,156.5001402925563,564.9611823028722,539.627585898413,516.4100230987185,0.1372549019607843,13.72549019607843,51,0.9803921568627451,0.0,5.0,0.7450980392156863,0.19607843137254902,0.84,0.9803921568627451,0.86,0.965156118696426,signal_seasonality,Правило: seasonality,10
10,RUB->KGS,signal_seasonality,oot,238,34,53,0.20588235294117646,0.22268907563025211,0.21999999999999997,0.9245283018867924,0.9358288770053477,10.867867188042576,34,-0.983741486471853,34,202.46575823887093,630.0116245600651,626.4385074439049,588.7194916460659,0.1372549019607843,13.72549019607843,51,0.6666666666666666,0.0,3.0,0.803921568627451,0.11764705882352941,0.8235294117647058,0.6666666666666666,0.8529411764705882,0.9611186995218647,signal_seasonality,Правило: seasonality,10
10,RUB->KZT,signal_seasonality,oot,238,52,65,0.19230769230769232,0.27310924369747897,0.2742307692307692,0.7041420118343197,0.7012622720897617,6.107643450929765,52,-47.026408900587086,52,240.52549997892933,788.4689574436953,766.9149006174339,734.740329350188,0.19607843137254904,19.607843137254903,51,1.0196078431372548,0.0,5.0,0.6862745098039216,0.17647058823529413,0.8269230769230769,1.0196078431372548,0.8461538461538461,0.9018001784789446,signal_seasonality,Правило: seasonality,10
10,RUB->TJS,signal_seasonality,oot,238,46,54,0.45652173913043476,0.226890756302521,0.21608695652173918,2.0120772946859904,2.1126760563380276,88.32733830857751,40,-2.1578851028720427,46,138.26627022589508,710.1687762173548,611.9047504821447,580.9764164103211,0.411764705882353,41.1764705882353,51,0.9019607843137255,0.0,4.0,0.7058823529411765,0.1568627450980392,0.8043478260869565,0.9019607843137255,0.8260869565217391,0.8685125902859139,signal_seasonality,Правило: seasonality,10
10,RUB->UZS,signal_seasonality,oot,238,42,63,0.21428571428571427,0.2647058823529412,0.2685714285714286,0.8095238095238094,0.7978723404255317,28.574969482386138,42,13.707736178337788,42,197.4625598390484,653.6539535137042,631.3934730657555,587.0584703947998,0.17647058823529413,17.647058823529413,51,0.8235294117647058,0.0,4.0,0.7843137254901961,0.1568627450980392,0.8333333333333334,0.8235294117647058,0.8333333333333334,0.9211019330419835,signal_seasonality,Правило: seasonality,10
1,RUB->AMD,signal_better_than_one_year_ago,oot,247,2,132,0.5,0.5344129554655871,0.5,0.9356060606060606,1.0,45.802392138641345,2,18.964140107725626,2,39.81752251725368,79.63504503450736,79.63504503450736,39.81752251725368,0.018867924528301886,1.8867924528301887,53,0.03773584905660377,0.0,0.0,0.9622641509433962,0.0,0.0,0.03773584905660377,0.0,2.2034115959681375,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",1
