experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar
seasonality,TJS,wf_2023,,10,0.16666666666666666,0.2793522267206478,247,69,1.3529411764705883,48,48,0,48,0,0.7450980392156863,0.17647058823529413,51,2023-01-10,2023-12-30,True,556.8105546656685,0.17916666666666664,19.221078899809978,594.9443001031738,21.356785036155788
seasonality,TJS,wf_2024,,10,0.35294117647058826,0.29435483870967744,248,73,1.4313725490196079,51,51,0,51,0,0.7058823529411765,0.21568627450980393,51,2024-01-10,2024-12-29,True,665.1687342341908,0.3297058823529412,56.248386293333624,755.1819136194173,63.920481644702136
seasonality,TJS,wf_2025,,10,0.18181818181818182,0.2360248447204969,161,38,1.1176470588235294,33,33,0,33,0,0.7058823529411765,0.17647058823529413,34,2025-01-10,2025-08-30,True,895.3568674779578,0.25969696969696965,-22.145344982656763,995.0048610412688,-30.53656385830011
seasonality,UZS,oot,,10,0.21428571428571427,0.2647058823529412,238,63,1.1886792452830188,48,42,6,42,6,0.7547169811320755,0.16981132075471697,53,2025-09-02,2026-09-02,True,587.0584703947998,0.23226190476190478,26.598991058685023,631.3934730657555,28.574969482386138
seasonality,UZS,wf_2022,,10,0.19230769230769232,0.20647773279352227,247,51,1.0,52,52,0,52,0,0.7058823529411765,0.21568627450980393,51,2022-01-11,2022-12-31,True,2902.265474096911,0.1714423076923077,-132.7747582669832,3173.833327938191,-142.15577893112948
seasonality,UZS,wf_2023,,10,0.2962962962962963,0.30364372469635625,247,75,1.4705882352941178,54,54,0,54,0,0.7058823529411765,0.19607843137254902,51,2023-01-10,2023-12-30,True,582.5142981199467,0.2759259259259259,62.90745860145136,619.9474316461194,67.89247221008753
seasonality,UZS,wf_2024,,10,0.2222222222222222,0.2620967741935484,248,65,1.2745098039215685,54,54,0,54,0,0.6862745098039216,0.21568627450980393,51,2024-01-10,2024-12-29,True,774.0208228345549,0.21648148148148152,-3.406083472878079,777.7527750691365,-7.548107068701902
seasonality,UZS,wf_2025,,10,0.12903225806451613,0.09937888198757763,161,16,0.47058823529411764,31,31,0,31,0,0.7352941176470589,0.17647058823529413,34,2025-01-10,2025-08-30,True,934.4030847462909,0.1158064516129032,-29.74133090323723,1038.8785397003064,-26.622921200870188
catboost_a,AMD,wf_oos,5.0,10,0.18681318681318682,0.2652439024390244,656,174,1.2608695652173914,91,91,0,91,0,0.6956521739130435,0.10144927536231885,138,2023-01-10,2025-08-30,True,821.1735645927849,0.16642857142857145,-14.033004251533885,820.2470634075714,-5.674312684685499
catboost_a,KGS,wf_oos,5.0,10,0.18446601941747573,0.2545731707317073,656,167,1.210144927536232,103,103,0,103,0,0.6521739130434783,0.10144927536231885,138,2023-01-10,2025-08-30,False,,0.1731067961165048,-11.169530266197185,837.5727981230436,-7.762881065091091
catboost_a,KZT,wf_oos,5.0,10,0.12,0.20884146341463414,656,137,0.9927536231884058,100,100,0,100,0,0.6594202898550725,0.10869565217391304,138,2023-01-10,2025-08-30,False,,0.13115,-7.745269903217761,903.5073978231673,-9.14984640529942
catboost_a,TJS,wf_oos,5.0,10,0.2727272727272727,0.27439024390243905,656,180,1.3043478260869565,99,99,0,99,0,0.6884057971014492,0.11594202898550725,138,2023-01-10,2025-08-30,True,910.7615019004363,0.25176767676767675,6.449624843623703,878.7475998457722,11.922000706471941
catboost_a,UZS,wf_oos,5.0,10,0.18478260869565216,0.23780487804878048,656,156,1.1304347826086956,92,92,0,92,0,0.6884057971014492,0.10144927536231885,138,2023-01-10,2025-08-30,True,930.8152154239484,0.18032608695652172,-11.53262553307888,886.6588152937601,-14.662219579235607
catboost_ab,AMD,wf_oos,5.0,10,0.24087591240875914,0.2652439024390244,656,174,1.2608695652173914,137,137,0,137,0,0.7028985507246377,0.1956521739130435,138,2023-01-10,2025-08-30,False,,0.2322992700729927,14.058194450589976,745.6905874152325,24.025788451054932
catboost_ab,KGS,wf_oos,5.0,10,0.25477707006369427,0.2545731707317073,656,167,1.210144927536232,157,157,0,157,0,0.6304347826086957,0.2246376811594203,138,2023-01-10,2025-08-30,False,,0.2299044585987261,14.579782279424785,729.9299282424302,32.59327284645634
catboost_ab,KZT,wf_oos,5.0,10,0.20567375886524822,0.20884146341463414,656,137,0.9927536231884058,141,141,0,141,0,0.6666666666666666,0.1956521739130435,138,2023-01-10,2025-08-30,False,,0.20687943262411346,31.75998053251111,634.3021413370715,41.86833565954768
catboost_ab,TJS,wf_oos,5.0,10,0.24390243902439024,0.27439024390243905,656,180,1.3043478260869565,123,123,0,123,0,0.7028985507246377,0.18115942028985507,138,2023-01-10,2025-08-30,False,,0.22638211382113824,20.884853703290755,712.108509348273,32.254913126430516
catboost_ab,UZS,wf_oos,5.0,10,0.23943661971830985,0.23780487804878048,656,156,1.1304347826086956,142,142,0,142,0,0.6811594202898551,0.2028985507246377,138,2023-01-10,2025-08-30,False,,0.23017605633802815,23.745968340404843,678.4564831495155,31.68095689177449
catboost_abc,AMD,wf_oos,5.0,10,0.14285714285714285,0.2652439024390244,656,174,1.2608695652173914,21,21,0,21,0,0.927536231884058,0.028985507246376812,138,2023-01-10,2025-08-30,True,664.9492662870897,0.14547619047619045,-16.254453557742504,739.7108334358414,0.37109529285437015
catboost_abc,KGS,wf_oos,5.0,10,0.3235294117647059,0.2545731707317073,656,167,1.210144927536232,34,34,0,34,0,0.8840579710144928,0.036231884057971016,138,2023-01-10,2025-08-30,True,426.5711099204003,0.3052941176470588,71.00841883734918,561.4218240315845,101.53093887177147
catboost_abc,KZT,wf_oos,5.0,10,0.5,0.20884146341463414,656,137,0.9927536231884058,12,12,0,12,0,0.9637681159420289,0.014492753623188406,138,2023-01-10,2025-08-30,True,185.6360826834371,0.495,201.77755100664498,366.63144791018465,233.64514172104975
catboost_abc,TJS,wf_oos,5.0,10,0.3157894736842105,0.27439024390243905,656,180,1.3043478260869565,19,19,0,19,0,0.927536231884058,0.014492753623188406,138,2023-01-10,2025-08-30,True,416.9765409989803,0.28210526315789475,90.73672705976611,604.9056562478833,99.78788572835845
catboost_abc,UZS,wf_oos,5.0,10,0.2222222222222222,0.23780487804878048,656,156,1.1304347826086956,27,27,0,27,0,0.9057971014492754,0.028985507246376812,138,2023-01-10,2025-08-30,True,540.5889387821402,0.1922222222222222,34.14483459113169,600.6119199300721,43.415791568810846
catboost_abcd,AMD,wf_oos,5.0,10,0.21739130434782608,0.2652439024390244,656,174,1.2608695652173914,92,92,0,92,0,0.7681159420289855,0.11594202898550725,138,2023-01-10,2025-08-30,True,854.4061982290575,0.20717391304347824,-1.2067937438960978,845.5008484484782,-1.3182065284313962
catboost_abcd,KGS,wf_oos,5.0,10,0.24210526315789474,0.2545731707317073,656,167,1.210144927536232,95,95,0,95,0,0.7028985507246377,0.12318840579710146,138,2023-01-10,2025-08-30,True,849.1997096514106,0.239578947368421,13.243013441328515,849.7287928496439,15.47831463978757
