experiment,training_horizon,evaluation_horizon,currency,fold,lift,moment_advantage_bps,customer_regret_cvar_95_bps,signals_per_week,lift_at_risk,cluster_rate
catboost_ab,5.0,1,UZS,wf_2024,0.6818538884524745,-3.9968511734639036,324.74878050843927,0.7450980392156863,0.9423162313692015,0.7368421052631579
catboost_ab,5.0,1,UZS,wf_2025,,,,0.0,,
catboost_abc,5.0,1,AMD,oot,1.1227272727272726,-13.979862931175145,126.36853859142593,0.37735849056603776,0.9873677042339993,0.5
catboost_abc,5.0,1,AMD,wf_2022,0.995967741935484,19.63847882360111,126.85703260659986,0.11764705882352941,3.2421822464479884,0.3333333333333333
catboost_abc,5.0,1,AMD,wf_2023,0.8758865248226951,1.5502698921149871,154.38039220964095,0.39215686274509803,1.1255500962899732,0.6
catboost_abc,5.0,1,AMD,wf_2024,,,,0.0,,
catboost_abc,5.0,1,AMD,wf_2025,0.0,-11.246063877645707,37.58537795246042,0.029411764705882353,0.0,0.0
catboost_abc,5.0,1,KGS,oot,1.2314814814814816,-12.966309231765145,118.04887180612344,0.4528301886792453,1.194651166188019,0.5416666666666666
catboost_abc,5.0,1,KGS,wf_2022,0.926829268292683,9.818178629888216,415.72439012654394,0.2549019607843137,0.9724372309851612,0.5384615384615384
catboost_abc,5.0,1,KGS,wf_2023,0.973399014778325,7.689184799618439,179.526825494033,0.5686274509803921,0.9000735761900571,0.6896551724137931
catboost_abc,5.0,1,KGS,wf_2024,1.7714285714285714,23.58325763398783,0.0,0.0196078431372549,1.7142994337489643,0.0
catboost_abc,5.0,1,KGS,wf_2025,0.5919117647058824,-0.5481697537274011,19.442298695504512,0.11764705882352941,0.6203012405793145,0.75
catboost_abc,5.0,1,KZT,oot,0.7323943661971831,-26.01338259573357,139.56725451448992,0.3584905660377358,1.0593105484809413,0.47368421052631576
catboost_abc,5.0,1,KZT,wf_2022,1.0646551724137931,19.702124377920654,284.5139977006039,0.1568627450980392,2.3066889407836473,0.5
catboost_abc,5.0,1,KZT,wf_2023,1.0440821256038646,6.681521448643387,152.22348916761553,0.23529411764705882,0.7963159746273133,0.6666666666666666
catboost_abc,5.0,1,KZT,wf_2024,,,,0.0,,
catboost_abc,5.0,1,KZT,wf_2025,,,,0.0,,
catboost_abc,5.0,1,TJS,oot,1.3012682926829269,-12.108902541912126,201.94531030640618,0.7924528301886793,0.7752624196278701,0.5714285714285714
catboost_abc,5.0,1,TJS,wf_2022,0.8570437196391394,39.64443254485033,740.8980299595358,0.21568627450980393,1.9730533226020754,0.45454545454545453
catboost_abc,5.0,1,TJS,wf_2023,0.9432624113475178,-0.032346307186156324,149.67379410573133,0.2549019607843137,1.0313199271486837,0.6153846153846154
catboost_abc,5.0,1,TJS,wf_2024,,,,0.0,,
catboost_abc,5.0,1,TJS,wf_2025,1.2777777777777777,-9.51592542712709,44.89282672351713,0.17647058823529413,1.1033616203936536,0.5
catboost_abc,5.0,1,UZS,oot,1.059436274509804,-18.93052913241822,206.96253948174427,0.4528301886792453,0.8470074308577344,0.5833333333333334
catboost_abc,5.0,1,UZS,wf_2022,0.7547746371275783,11.44788740697728,646.95520613822,0.21568627450980393,1.3210581192495967,0.5454545454545454
catboost_abc,5.0,1,UZS,wf_2023,0.8884892086330936,0.4951944917335842,127.38816217009452,0.47058823529411764,1.1858052347272097,0.7083333333333334
catboost_abc,5.0,1,UZS,wf_2024,1.8507462686567164,17.253777358667843,0.0,0.0196078431372549,1.894334613888065,0.0
catboost_abc,5.0,1,UZS,wf_2025,1.1180555555555556,-14.591996042900846,50.26815827788855,0.058823529411764705,1.2755734143538673,0.5
catboost_abcd,5.0,1,AMD,oot,1.2107843137254901,-13.198512003141927,126.36853859142593,0.32075471698113206,1.1169778682811267,0.29411764705882354
catboost_abcd,5.0,1,AMD,wf_2022,0.497983870967742,4.452215762061895,246.0504075892045,0.0784313725490196,1.2408005253487984,0.25
catboost_abcd,5.0,1,AMD,wf_2023,0.812416486792065,2.3317610210367423,188.6372168945083,1.3529411764705883,1.090074810413092,0.8405797101449275
catboost_abcd,5.0,1,AMD,wf_2024,1.4273381294964032,-9.872669478587117,11.252733864377529,0.19607843137254902,1.2603776185434032,0.5
catboost_abcd,5.0,1,AMD,wf_2025,1.5268703898840883,-18.603197390875128,48.95949995794568,0.38235294117647056,2.988496365888136,0.46153846153846156
